Time;Person ID;Home X;Home Y
21359.0;326837901;4589799.344073718;5826340.296564284
22204.0;freight_2369_berlin-98267;4589799.344073718;5826340.296564284
22919.0;320387001;4597549.742080273;5821666.818969878
23922.0;202964301;4597549.742080273;5821666.818969878
24446.0;306071301;4589799.344073718;5826340.296564284
24679.0;115036501;4591415.269138537;5812036.100309968
26338.0;255611101;4603952.028232624;5820745.041927107
29348.0;446497901;4589799.344073718;5826340.296564284
30161.0;345196001;4589799.344073718;5826340.296564284
32834.0;408402201;4591415.269138537;5812036.100309968
33095.0;338625901;4589799.344073718;5826340.296564284
33573.0;freight_566_44729-berlin;4606187.375786817;5809755.347241542
33831.0;208618601;4603952.028232624;5820745.041927107
34640.0;369084001;4606187.375786817;5809755.347241542
35903.0;387639301;4626101.880340344;5821538.13964766
36398.0;178306901;4599912.653035337;5825407.152654956
36440.0;64509501;4619638.782546187;5823199.977985813
36804.0;381469401;4619638.782546187;5823199.977985813
37055.0;95715501;4619638.782546187;5823199.977985813
38279.0;230006301;4619638.782546187;5823199.977985813
38300.0;369227901;4595186.951031798;5823595.906326099
38499.0;95177101;4599912.653035337;5825407.152654956
40809.0;235043101;4591175.485874974;5815277.377502635
41552.0;193197701;4619638.782546187;5823199.977985813
41970.0;freight_1723_berlin-144244;4619638.782546187;5823199.977985813
42430.0;435039901;4619638.782546187;5823199.977985813
42795.0;334433601;4619638.782546187;5823199.977985813
42927.0;193538901;4590044.079064047;5821784.108252935
44153.0;173659901;4606187.375786817;5809755.347241542
44494.0;283237601;4591415.269138537;5812036.100309968
44727.0;388292801;4599912.653035337;5825407.152654956
44861.0;322449601;4586871.13245578;5819802.659265158
45789.0;150415201;4588409.010637118;5816372.716151643
46640.0;freight_2598_berlin-130736;4603952.028232624;5820745.041927107
47443.0;394425801;4591656.0656298;5824546.742583205
48362.0;151623801;4591175.485874974;5815277.377502635
48442.0;199731401;4608535.984312654;5824922.726115958
48806.0;320387001;4588657.2472700095;5808457.439503875
48898.0;373490801;4606187.375786817;5809755.347241542
50033.0;387869801;4588647.45279976;5816228.683005461
50573.0;310607701;4589799.344073718;5826340.296564284
52576.0;357517401;4608535.984312654;5824922.726115958
52742.0;118898701;4592588.6617328245;5819694.142075719
52816.0;freight_626_44729-berlin;4591656.0656298;5824546.742583205
53563.0;55287901;4591415.269138537;5812036.100309968
54388.0;257083601;4661536.737207389;5823552.514309636
54739.0;272741901;4596619.868585663;5820550.645436642
54929.0;488383301;4596370.194542861;5821525.352387846
55126.0;186608601;4588132.791858893;5821386.100661931
56152.0;406540101;4588132.791858893;5821386.100661931
56681.0;361857201;4588132.791858893;5821386.100661931
56761.0;438833701;4588132.791858893;5821386.100661931
57936.0;326837901;4591175.485874974;5815277.377502635
58320.0;384876401;4563057.154448026;5805579.763943797
58644.0;362381301;4589208.016437821;5817793.184218817
58930.0;199257001;4612712.078599223;5820700.718260317
60204.0;420932101;4612712.078599223;5820700.718260317
60243.0;345196001;4612712.078599223;5820700.718260317
60606.0;488383301;4612712.078599223;5820700.718260317
60864.0;265430301;4610846.709004476;5818056.4636739865
61754.0;415434501;4601080.478795077;5821537.109916661
62537.0;52632601;4603952.028232624;5820745.041927107
62697.0;415934601;4601080.478795077;5821537.109916661
63048.0;430148801;4619638.782546187;5823199.977985813
63495.0;347845301;4619638.782546187;5823199.977985813
63995.0;271652801;4619638.782546187;5823199.977985813
64497.0;317510001;4619638.782546187;5823199.977985813
64861.0;386014401;4626101.880340344;5821538.13964766
65227.0;263142401;4597235.243225802;5823566.947425938
66437.0;449167501;4599912.653035337;5825407.152654956
66767.0;95030601;4610846.709004476;5818056.4636739865
67019.0;288029201;4590103.121045922;5822282.230341963
67158.0;297975501;4596749.847203603;5823566.138654502
67565.0;79211601;4593122.605024049;5817931.341514061
67690.0;242625401;4596619.868585663;5820550.645436642
69380.0;137587101;4591175.485874974;5815277.377502635
69518.0;152910601;4597484.866184616;5823818.876784984
69681.0;434484701;4597780.332573003;5821611.364995109
69766.0;95030601;4597780.332573003;5821611.364995109
70954.0;318064001;4597780.332573003;5821611.364995109
71672.0;334314901;4597780.332573003;5821611.364995109
71951.0;429869101;4594745.8469928885;5820177.292732456
72162.0;257667701;4606187.375786817;5809755.347241542
72387.0;380305101;4597235.243225802;5823566.947425938
72483.0;166492301;4597984.213742814;5821494.051322858
72660.0;415434501;4602590.753420125;5820945.648101738
73136.0;115036501;4588657.2472700095;5808457.439503875
73541.0;261724301;4617829.5673637865;5816194.400417194
73967.0;74750501;4610419.8430909;5818119.707868929
75476.0;95177101;4610419.8430909;5818119.707868929
76211.0;418974201;4610419.8430909;5818119.707868929
76584.0;387639301;4610419.8430909;5818119.707868929
77400.0;291841101;4588132.791858893;5821386.100661931
77727.0;248234601;4588132.791858893;5821386.100661931
77998.0;392816801;4596370.194542861;5821525.352387846
78077.0;411029601;4577025.345935161;5822465.85399567
79596.0;362972801;4626101.880340344;5821538.13964766
81017.0;243421801;4612712.078599223;5820700.718260317
83537.0;231099901;4612712.078599223;5820700.718260317
